2017-04-22 20:32:57,382 [1]INFO  ASP.global_asax - ÏµÍ³Æô¶¯
2017-04-22 20:32:57,663 [9]INFO  Spring.Context.Support.WebApplicationContext - ApplicationContext Refresh: Completed
2017-04-22 20:33:01,684 [9]INFO  NHibernate.Cfg.Environment - NHibernate 4.1.1.GA (assembly 4.1.0.4000)
2017-04-22 20:33:01,711 [9]INFO  NHibernate.Cfg.Environment - Bytecode provider name : lcg
2017-04-22 20:33:01,717 [9]INFO  NHibernate.Cfg.Environment - Using reflection optimizer
2017-04-22 20:33:01,736 [9]INFO  NHibernate.Cfg.Configuration - Searching for mapped documents in assembly: ExtApp.Model
2017-04-22 20:33:01,743 [9]WARN  NHibernate.Cfg.Configuration - No mapped documents found in assembly: ExtApp.Model, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
2017-04-22 20:33:02,740 [9]INFO  NHibernate.Dialect.Dialect - Using dialect: NHibernate.Dialect.MsSql2012Dialect
2017-04-22 20:33:02,795 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.DatabaseBackup -> AppDatabaseBackup
2017-04-22 20:33:02,854 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.Menu -> AppMenu
2017-04-22 20:33:02,858 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.ConfigSection -> AppConfigSection
2017-04-22 20:33:02,863 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.Config -> AppConfig
2017-04-22 20:33:02,868 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.RoleMenu -> AppRoleMenu
2017-04-22 20:33:02,873 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.Dept -> AppDept
2017-04-22 20:33:03,021 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.DicItem -> AppDicItem
2017-04-22 20:33:03,034 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.Dic -> AppDic
2017-04-22 20:33:03,043 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.Log -> AppLog
2017-04-22 20:33:03,051 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.Role -> AppRole
2017-04-22 20:33:03,075 [9]INFO  NHibernate.Cfg.XmlHbmBinding.Binder - Mapping class: ExtApp.Model.User -> AppUser
2017-04-22 20:33:03,091 [9]INFO  NHibernate.Cfg.Configuration - checking mappings queue
2017-04-22 20:33:03,097 [9]INFO  NHibernate.Cfg.Configuration - processing one-to-many association mappings
2017-04-22 20:33:03,103 [9]INFO  NHibernate.Cfg.Configuration - processing one-to-one association property references
2017-04-22 20:33:03,107 [9]INFO  NHibernate.Cfg.Configuration - processing foreign key constraints
2017-04-22 20:33:03,115 [9]INFO  NHibernate.Cfg.Configuration - processing filters (second pass)
2017-04-22 20:33:03,138 [9]INFO  NHibernate.Dialect.Dialect - Using dialect: NHibernate.Dialect.MsSql2012Dialect
2017-04-22 20:33:03,148 [9]INFO  NHibernate.Dialect.Dialect - Using dialect: NHibernate.Dialect.MsSql2012Dialect
2017-04-22 20:33:03,286 [9]INFO  NHibernate.Exceptions.SQLExceptionConverterFactory - Using dialect defined converter
2017-04-22 20:33:03,294 [9]INFO  NHibernate.Cfg.SettingsFactory - Generate SQL with comments: disabled
2017-04-22 20:33:03,299 [9]INFO  NHibernate.Connection.ConnectionProviderFactory - Initializing connection provider: NHibernate.Connection.DriverConnectionProvider
2017-04-22 20:33:03,304 [9]INFO  NHibernate.Connection.ConnectionProvider - Configuring ConnectionProvider
2017-04-22 20:33:03,312 [9]INFO  NHibernate.Cfg.SettingsFactory - Transaction factory: NHibernate.Transaction.AdoNetWithDistributedTransactionFactory
2017-04-22 20:33:03,317 [9]INFO  NHibernate.Cfg.SettingsFactory - Optimize cache for minimal puts: False
2017-04-22 20:33:03,323 [9]INFO  NHibernate.Cfg.SettingsFactory - Connection release mode: auto
2017-04-22 20:33:03,329 [9]INFO  NHibernate.Cfg.SettingsFactory - Default batch fetch size: 1
2017-04-22 20:33:03,335 [9]INFO  NHibernate.Cfg.SettingsFactory - echoing all SQL to stdout
2017-04-22 20:33:03,340 [9]INFO  NHibernate.Cfg.SettingsFactory - Statistics: disabled
2017-04-22 20:33:03,345 [9]INFO  NHibernate.Cfg.SettingsFactory - Deleted entity synthetic identifier rollback: disabled
2017-04-22 20:33:03,350 [9]INFO  NHibernate.Cfg.SettingsFactory - Query translator: NHibernate.Hql.Ast.ANTLR.ASTQueryTranslatorFactory
2017-04-22 20:33:03,357 [9]INFO  NHibernate.Cfg.SettingsFactory - Query provider: NHibernate.Linq.DefaultQueryProvider
2017-04-22 20:33:03,366 [9]INFO  NHibernate.Cfg.SettingsFactory - Query language substitutions: {'true'='1', 'false'='0', 'yes'=''Y'', 'no'=''N''}
2017-04-22 20:33:03,372 [9]INFO  NHibernate.Cfg.SettingsFactory - cache provider: NHibernate.Cache.NoCacheProvider, NHibernate, Version=4.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
2017-04-22 20:33:03,377 [9]INFO  NHibernate.Cfg.SettingsFactory - Order SQL inserts for batching: enabled
2017-04-22 20:33:03,381 [9]INFO  NHibernate.Cfg.SettingsFactory - Order SQL updates for batching: disabled
2017-04-22 20:33:03,386 [9]INFO  NHibernate.Cfg.SettingsFactory - Batcher factory: NHibernate.AdoNet.SqlClientBatchingBatcherFactory, NHibernate, Version=4.1.0.4000, Culture=neutral, PublicKeyToken=aa95f207798dfdb4
2017-04-22 20:33:03,391 [9]INFO  NHibernate.Cfg.SettingsFactory - Default flush mode: Auto
2017-04-22 20:33:03,397 [9]INFO  NHibernate.Cfg.SettingsFactory - Default entity-mode: Poco
2017-04-22 20:33:03,403 [9]INFO  NHibernate.Cfg.SettingsFactory - Named query checking : enabled
